Feeder,DeviceID,Type,Rating,Description,Lat,Lon,Source,ParentID,MeterCount,VerifiedStatus,VerifiedDate
ALA09,41-005143,TRANSFORMER,30kVA,DCC_,8.568117,98.743802,gis,ALA09WF-128,25,,
ALA09,56-014935,TRANSFORMER,30kVA,DCC_บ้านทุ่งชักพระ,8.562676,98.742061,gis,41-005143,9,,
ALA09,66-018606,TRANSFORMER,100kVA,7-11 บ้านเขาต่อ,8.591849,98.74383,gis,ALA09WF-134,1,,
ALA09,54-111922,TRANSFORMER,50kVA,รีสอร์ท  นายชุมพล  ม.1  เขาต่อ,8.582604,98.741502,gis,ALA09WS-112,1,,
ALA09,40-111405,TRANSFORMER,50kVA,บริษัท โทเทิ่ลแอ็คเซ็สคอมมูเคชั่น จำกัด (มหาชน),8.650015,98.775854,gis,ALA09WF-147,1,,
ALA09,54-015409,TRANSFORMER,50kVA,ศูนย์พัฒนาเด็กเล็กบ้านบางโทง,8.534533,98.709794,gis,ALA09WF-110,1,,
ALA09,64-008355,TRANSFORMER,30kVA,อบต.เขาต่อ,8.611234,98.762769,gis,58-010794,19,,
ALA09,66-110716,TRANSFORMER,1000kVA,บริษัท ฟาร์เมช จำกัด,8.572392,98.734063,gis,ALA09WF-716,,,
ALA09,28-009881,TRANSFORMER,30kVA,นายธเนศ บัญชาสุทธิกุล (โรงงานอิฐบล็อค),8.53703,98.713646,gis,54-015409,,,
ALA09,36-014657,TRANSFORMER,160kVA,บ้านพัก บริษัท  ตาปีแทรคเตอร์  จำกัด,8.651878,98.7791,gis,ALA09WF-719,,,
ALA09,60-038048,TRANSFORMER,50kVA,ประปา หลังอนามัยเขาต่อ อบต.เขาต่อ,8.569891,98.741429,gis,60-005251,1,,
ALA09,49-014061,TRANSFORMER,30kVA,ไดมอนปารค์,8.513494,98.688822,gis,ALA09WF-708,1,,
ALA09,63-015788,TRANSFORMER,30kVA,DCC_บ.บางหอย,8.641758,98.776023,gis,ALA09WF-146,20,,
ALA09,65-100915,TRANSFORMER,30kVA,ไฟทางหลวง ซ.วัดบางโทง,8.525692,98.724771,gis,ALA09WF-714,1,,
ALA09,44-113937,TRANSFORMER,50kVA,บริษัท แอดวานซ์อินโฟร์ฯสถานีฐานบ้านนางยวน ต.เขาต่อ,8.650567,98.775958,gis,ALA09WF-147,1,,
ALA09,42-003196,TRANSFORMER,30kVA,DCC_,8.548151,98.714985,gis,ALA09WF-120,40,,
ALA09,49-012663,TRANSFORMER,30kVA,บ.บางโทง,8.521094,98.702458,gis,66-112227,19,,
ALA09,40-022069,TRANSFORMER,30kVA,DCC_,8.651729,98.788048,gis,61-100280,19,,
ALA09,62-003032,TRANSFORMER,30kVA,บ.บางอวด,8.551843,98.730703,gis,ALA09WF-121,1,,
ALA09,59-009270,TRANSFORMER,30kVA,ประปา ม.5 ซ.ผู้ใหญ่ไมตรี,8.547817,98.727254,gis,ALA09WF-119,1,,
ALA09,40-022064,TRANSFORMER,30kVA,DCC_,8.547046,98.737007,gis,ALA09WF-121,17,,
ALA09,49-014058,TRANSFORMER,30kVA,นายชำนาญ เกลือนสินธ์ (โรงงานอิฐบล็อค),8.525312,98.714286,gis,37-013235,1,,
ALA09,40-011595,TRANSFORMER,30kVA,DCC_,8.553974,98.733921,gis,62-003032,16,,
ALA09,66-001573,TRANSFORMER,50kVA,วัดบ้านนา ม.6 ต.เขาต่อ,8.618489,98.767767,gis,58-006814,1,,
ALA09,62-103514,TRANSFORMER,250kVA,หจก.ชมพูนุช เซอร์วิส,8.507285,98.682503,gis,ALA09WF-706,1,,
ALA09,62-003585,TRANSFORMER,30kVA,ไฟทางหลวง แขวงทางหลวงพังงา สามแยกเขาต่อ,8.577666,98.740542,gis,ALA09WF-129,1,,
ALA09,51-008619,TRANSFORMER,30kVA,ไฟสาธารณะทางหลวง,8.498621,98.702863,gis,40-113571,,,
ALA09,63-008671,TRANSFORMER,30kVA,DCC_,8.627047,98.751618,gis,ALA09WF-140,9,,
ALA09,40-022287,TRANSFORMER,30kVA,DCC_,8.603781,98.734682,gis,66-021692,17,,
ALA09,64-100058,TRANSFORMER,100kVA,ฟาร์มไก่ นาย ไพบูลย์ ชัยทอง,8.58394,98.746373,gis,ALA09WF-132,1,,
ALA09,61-002690,TRANSFORMER,30kVA,DCC_รร.บ้านบางโทง,8.534338,98.709944,gis,54-015409,,,
ALA09,45-005825,TRANSFORMER,250kVA,วัดบางโทง ม.4 ต.นาเหนือ อ.อ่าวลึก,8.527593,98.717994,gis,37-013235,1,,
ALA09,54-000674,TRANSFORMER,30kVA,DCC_บ้านควนท้อน,8.539452,98.706822,gis,60-002927,25,,
