Feeder,TransformerID,RatedKVA,Phase,Location,CustomerType,Lat,Lon
ALA07,53-007364,50,7,โรงอิฐบล็อก นายประมวล ม.3 ต.ปลายพระยา,2.0,8.499832927,98.838097696
ALA07,65-019957,30,4,บ.หนองเอื้อง,1.0,8.451303134,98.825078467
ALA01,65-012320,30,2,อ่าวลึกน้อย,1.0,8.326618418,98.747254368
ALA07,66-007888,30,2,บ้านทับควาย,1.0,8.4125511,98.801340625
ALA07,45-113254,30,1,DCC_,2.0,8.461888963,98.791846136
ALA07,42-000187,30,4,DCC_,1.0,8.479900588,98.852399715
ALA03,67-011159,160,7,อ่างเก็บน้ำคลองหยา ม.3 ต.ปลายพระยา,3.0,8.518299906,98.823570621
ALA09,66-102002,30,1,บ.ตัวอย่าง 1,3.0,8.475849597,98.747130526
ALA02,29-009778,10,2,บ.ห้วยหินเขียน,1.0,8.406709213,98.911523103
ALA07,63-024069,30,4,บ.เขานุ้ย,1.0,8.460822205,98.845815625
ALA02,61-000189,50,7,DCC_บ.ถ้ำเพชร,1.0,8.382315424,98.741772749
ALA03,42-000016,30,1,DCC_,1.0,8.456220418,98.787491407
ALA03,37-011210,250,7,DCC_,1.0,8.448288487,98.785025943
ALA07,35-004029,100,7,DCC_ม.6 บ้านบางเหียน,1.0,8.550715583,98.873538811
ALA07,57-109989,50,7,สวนปาล์มน้ำมันบางเหียน,2.0,8.551106159,98.893403421
ALA06,23-009171,20,1,DCC_,1.0,8.37276501,98.721027667
ALA07,40-024397,50,7,DCC_,1.0,8.410161358,98.752015804
ALA02,51-008401,30,2,DCC_,1.0,8.391494035,98.913329084
ALA03,54-012067,30,4,DCC_บ้าน สีซอ ม. 9 ต.ปลายพระยา,1.0,8.584287863,98.919721415
ALA03,47-116843,30,2,DCC_,2.0,8.422594353,98.821853186
ALA03,45-013047,30,4,DCC_,1.0,8.434853806,98.807763494
ALA03,57-004245,30,1,DCC_,1.0,8.423503095,98.823364039
ALA03,60-032530,30,4,DCC_บ้านสหกรณ์ ซ.3,1.0,8.42767551,98.839340871
ALA07,40-018397,30,4,DCC_บ้านคลองพระยา,1.0,8.483482583,98.894565128
ALA03,38-014713,30,4,DCC_,1.0,8.58838402,98.870606093
ALA03,42-000052,30,4,DCC_,1.0,8.551516512,98.841751548
ALA03,49-013070,30,2,บริษัท โทเทิ่ล แอ็คเซ็สฯ (สถานีฐาน บ.ตัวอย่าง),2.0,8.554203481,98.816092758
ALA03,50-006016,100,7,ประปาตัวอย่าง ต.เขาเขน,4.0,8.554165647,98.821290694
ALA03,59-010594,30,1,DCC_บ้านพรุเสือดำ ม.6 ต.เขาเขน,1.0,8.563890033,98.829416766
ALA03,60-032528,30,1,DCC_,1.0,8.565242385,98.826661556
ALA03,37-014345,100,7,สำนักงานอบต.เขาเขน ต.เขาเขน อ.ปลายพระยา,4.0,8.556165484,98.811497142
ALA03,45-013067,30,2,DCC_,1.0,8.563793809,98.812355652
ALA03,45-004452,30,2,DCC_,1.0,8.572026835,98.824063306
ALA03,40-011457,30,1,DCC_บ้านคลองปัญญา,1.0,8.584675213,98.82204368
ALA03,51-008424,30,1,DCC_,1.0,8.595723425,98.82038004
ALA03,37-003826,30,1,DCC_,1.0,8.664022679,98.848794551
ALA03,37-002811,30,1,DCC_,1.0,8.662642863,98.861109887
ALA07,32-012668,100,7,หน่วยสหกรณ์นิคมอ่าวลึก,4.0,8.47609829,98.813456708
ALA03,49-013530,30,4,DCC_,1.0,8.612870072,98.797465168
ALA03,42-000025,30,4,DCC_,1.0,8.589574848,98.756749806
ALA03,42-000032,30,2,DCC_,1.0,8.596299838,98.784684525
ALA03,38-004112,100,7,บ้านพัก บ.อุตสหกรรมน้ำมันปาล์มจำกัด ม.4 ต.คีรีวง,2.0,8.475291132,98.804578089
ALA03,49-008915,30,2,DCC_,1.0,8.479649879,98.816760797
ALA03,52-010809,30,4,DCC_บ้านช่องแบก,1.0,8.493339006,98.783749626
ALA03,54-011945,30,4,DCC_,1.0,8.558072101,98.862482575
ALA03,40-018117,30,4,DCC_,1.0,8.604099745,98.842835505
ALA03,45-013065,30,4,DCC_,1.0,8.610360929,98.851064355
